frame,timestamp,count,avg,max,fps,sum_acc,max_acc,total_people,centers_x,centers_y
0,1763923153.5734694,0,0.0,0,0.9721724788045139,0.0,0.0,0,,
1,1763923153.7023182,1,0.5,1,0.9721724788045139,1.0,1.0,1,,
2,1763923153.7479048,1,0.6666666666666666,1,0.9721724788045139,2.0,1.0,2,,
3,1763923153.7934687,1,0.75,1,0.9721724788045139,3.0,1.0,3,,
4,1763923153.83516,0,0.6,1,0.9721724788045139,3.0,1.0,3,,
5,1763923153.8898165,0,0.5,1,0.9721724788045139,3.0,1.0,3,,
6,1763923153.9424956,0,0.42857142857142855,1,0.9721724788045139,3.0,1.0,3,,
7,1763923153.9859319,0,0.375,1,0.9721724788045139,3.0,1.0,3,,
8,1763923154.0306177,0,0.3333333333333333,1,15.221150204063488,3.0,1.0,3,,
9,1763923154.0787973,0,0.3,1,15.221150204063488,3.0,1.0,3,,
10,1763923154.1260512,0,0.2727272727272727,1,15.221150204063488,3.0,1.0,3,,
11,1763923154.1766617,0,0.25,1,15.221150204063488,3.0,1.0,3,,
12,1763923154.2292492,0,0.23076923076923078,1,15.221150204063488,3.0,1.0,3,,
13,1763923154.2754633,0,0.21428571428571427,1,15.221150204063488,3.0,1.0,3,,
14,1763923154.3221452,0,0.2,1,15.221150204063488,3.0,1.0,3,,
15,1763923154.3694901,0,0.1875,1,15.221150204063488,3.0,1.0,3,,
16,1763923154.4146404,0,0.17647058823529413,1,15.221150204063488,3.0,1.0,3,,
17,1763923154.4634163,0,0.16666666666666666,1,15.221150204063488,3.0,1.0,3,,
18,1763923154.510169,0,0.15789473684210525,1,15.221150204063488,3.0,1.0,3,,
19,1763923154.556795,0,0.15,1,20.94890470514785,3.0,1.0,3,,
20,1763923154.596577,0,0.14285714285714285,1,20.94890470514785,3.0,1.0,3,,
21,1763923154.6491282,0,0.13636363636363635,1,20.94890470514785,3.0,1.0,3,,
22,1763923154.6942263,0,0.13043478260869565,1,20.94890470514785,3.0,1.0,3,,
23,1763923154.7422543,1,0.16666666666666666,1,20.94890470514785,4.0,1.0,4,,
24,1763923154.788385,1,0.2,1,20.94890470514785,5.0,1.0,5,,
25,1763923154.8290007,0,0.19230769230769232,1,20.94890470514785,5.0,1.0,5,,
26,1763923154.8760703,0,0.18518518518518517,1,20.94890470514785,5.0,1.0,5,,
27,1763923154.92581,0,0.17857142857142858,1,20.94890470514785,5.0,1.0,5,,
28,1763923154.973713,1,0.20689655172413793,1,20.94890470514785,6.0,1.0,6,,
29,1763923155.0192714,0,0.2,1,20.94890470514785,6.0,1.0,6,,
30,1763923155.0650036,0,0.1935483870967742,1,21.60400675784513,6.0,1.0,6,,
31,1763923155.1127768,1,0.21875,1,21.60400675784513,7.0,1.0,7,,
32,1763923155.1579268,0,0.21212121212121213,1,21.60400675784513,7.0,1.0,7,,
33,1763923155.203462,0,0.20588235294117646,1,21.60400675784513,7.0,1.0,7,,
34,1763923155.2501986,1,0.22857142857142856,1,21.60400675784513,8.0,1.0,8,,
35,1763923155.2964962,0,0.2222222222222222,1,21.60400675784513,8.0,1.0,8,,
36,1763923155.345842,1,0.24324324324324326,1,21.60400675784513,9.0,1.0,9,,
